[TIME]:2015-12-06 15:02:36ERROR:syntax error, unexpected '}'E:\WEBPROJECT\PHP\myPHP\Common\Lib\Function.php{第38行} 
[TIME]:2015-12-06 15:02:38ERROR:syntax error, unexpected '}'E:\WEBPROJECT\PHP\myPHP\Common\Lib\Function.php{第38行} 
[TIME]:2015-12-06 15:03:02ERROR:syntax error, unexpected '}'E:\WEBPROJECT\PHP\myPHP\Common\Lib\Function.php{第38行} 
[TIME]:2015-12-06 15:52:46ERROR:syntax error, unexpected '$this' (T_VARIABLE)E:\WEBPROJECT\PHP\myPHP\Admin\Controller\ColumnController.class.php{第46行} 
[TIME]:2015-12-06 15:52:59ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 30]: syntax error: unrecognized tag: $v['id'] (Smarty_Compiler.class.php, line 446)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:53:26ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 31]: syntax error: unrecognized tag: $v['_name'] (Smarty_Compiler.class.php, line 446)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:53:45ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 33]: syntax error: unidentified token '['display']' (Smarty_Compiler.class.php, line 1410)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:53:55ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 33]: syntax error: unclosed tag \{foreach} (opened line 28). (Smarty_Compiler.class.php, line 317)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:54:10ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 33]: syntax error: unclosed tag \{foreach} (opened line 28). (Smarty_Compiler.class.php, line 317)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:54:43ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 33]: syntax error: unclosed tag \{foreach} (opened line 28). (Smarty_Compiler.class.php, line 317)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:55:33ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 33]: syntax error: unclosed tag \{foreach} (opened line 28). (Smarty_Compiler.class.php, line 317)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
[TIME]:2015-12-06 15:55:58ERROR:Smarty error: [in E:/WEBPROJECT/PHP/myPHP/Admin/Tpl/Column/columnList.html line 32]: [plugin] modifier 'date_formart' is not implemented (core.load_plugins.php, line 118)E:\WEBPROJECT\PHP\myPHP\MyPHP\Extends\Org\Smarty\Smarty.class.php{第1093行} 
